,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,3474400,3160700,3058000,3071500.0
1,Total Liabilities Net Minority Interest,1642200,1312400,1391200,1354500.0
2,Total Equity Gross Minority Interest,1832200,1848300,1666800,1717000.0
3,Total Capitalization,2022100,1954700,1944000,1938400.0
4,Common Stock Equity,1832200,1848300,1666800,1717000.0
5,Capital Lease Obligations,22300,34400,38700,0
6,Net Tangible Assets,839600,977600,782400,910900.0
7,Working Capital,633800,731700,733900,853200.0
8,Invested Capital,2028900,1961500,1950800,1938400.0
9,Tangible Book Value,839600,977600,782400,910900.0
10,Total Debt,219000,147600,322700,221400.0
11,Share Issued,190577,190577,190577,190577.0
12,Ordinary Shares Number,157653,161770,162371,168159.0
13,Treasury Shares Number,33055,28938,28336,22548.0
