,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,25056000,23109000,19845000,17835000
1,Total Liabilities Net Minority Interest,7457000,8072000,7040000,6478000
2,Total Equity Gross Minority Interest,17599000,15037000,12805000,11357000
3,Total Capitalization,21207000,18642000,15480000,14028000
4,Common Stock Equity,17599000,15037000,12805000,11357000
5,Net Tangible Assets,7142000,4661000,2456000,795000
6,Working Capital,10145000,7465000,4377000,3464000
7,Invested Capital,21207000,18642000,15480000,14028000
8,Tangible Book Value,7142000,4661000,2456000,795000
9,Total Debt,3608000,3605000,2675000,2671000
10,Share Issued,1207734,1202906,1197437,1192094
11,Ordinary Shares Number,779057,774230,768760,763418
12,Treasury Shares Number,428676,428676,428676,428676
