,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,26075000,24766000,22682000,21223000.0
1,Total Liabilities Net Minority Interest,18777000,18312000,16561000,15359000.0
2,Total Equity Gross Minority Interest,7298000,6454000,6121000,5864000.0
3,Total Capitalization,17639000,15783000,14760000,13433000.0
4,Common Stock Equity,7298000,6454000,6121000,5864000.0
5,Capital Lease Obligations,80000,81000,89000,0
6,Net Tangible Assets,6159000,4895000,4553000,4205000.0
7,Working Capital,587000,975000,760000,1313000.0
8,Invested Capital,18280000,17394000,15574000,14468000.0
9,Tangible Book Value,6159000,4895000,4553000,4205000.0
10,Total Debt,11062000,11021000,9542000,8604000.0
11,Net Debt,10866000,10393000,9393000,8474000.0
12,Share Issued,186880,186467,185904,185367.0
13,Ordinary Shares Number,181611,181298,180813,180684.0
14,Treasury Shares Number,5269,5168,5091,4683.0
