,Breakdown,8/31/2021,8/31/2020,8/31/2019,8/31/2018
0,Total Assets,14516199,14423872,9895913,9346980
1,Total Liabilities Net Minority Interest,16313735,15301849,11609764,10867335
2,Total Equity Gross Minority Interest,1797536,877977,1713851,1520355
3,Total Capitalization,3472284,4635394,3492493,3485575
4,Common Stock Equity,1797536,877977,1713851,1520355
5,Capital Lease Obligations,2959342,2792904,56246,52290
6,Net Tangible Assets,2100181,1182065,2022112,1832789
7,Working Capital,954451,528781,483456,392812
8,Invested Capital,3472284,4635394,3492493,3485575
9,Tangible Book Value,2100181,1182065,2022112,1832789
10,Total Debt,8229162,8306275,5262590,5058220
11,Net Debt,4098485,3762556,5030044,4788106
12,Share Issued,23007,23697,25445,27530
13,Ordinary Shares Number,21138,23376,24038,25742
14,Treasury Shares Number,1869,321,1407,1788
