,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,23641000.0,21874000,21402000,22687000.0
1,Total Liabilities Net Minority Interest,17463000.0,16981000,15469000,13902000.0
2,Total Equity Gross Minority Interest,6178000.0,4893000,5933000,8785000.0
3,Total Capitalization,15115000.0,15922000,13573000,17434000.0
4,Common Stock Equity,6178000.0,4893000,5933000,8785000.0
5,Capital Lease Obligations,351000.0,366000,462000,0
6,Net Tangible Assets,1234000.0,1186000,1066000,3750000.0
7,Working Capital,6899000.0,8781000,4467000,4852000.0
8,Invested Capital,17104000.0,16907000,14561000,17434000.0
9,Tangible Book Value,1234000.0,1186000,1066000,3750000.0
10,Total Debt,11277000.0,12380000,9090000,8649000.0
11,Net Debt,0,1452000,2316000,6025000.0
12,Share Issued,63584.0,63406,63179,62949.0
13,Ordinary Shares Number,41066.0,40960,41417,45632.0
14,Treasury Shares Number,22518.0,22447,21762,17317.0
