,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,26172000,25093000.0,22406000.0,21737000.0
1,Total Liabilities Net Minority Interest,19078000,18515000.0,7971000.0,7468000.0
2,Total Equity Gross Minority Interest,7094000,6578000.0,14435000.0,14269000.0
3,Total Capitalization,16280000,16288000.0,14102000.0,13917000.0
4,Common Stock Equity,6767000,6252000.0,14102000.0,13917000.0
5,Capital Lease Obligations,527000,803000.0,682000.0,0.0
6,Net Tangible Assets,3091000,4924000.0,3135000.0,2854000.0
7,Working Capital,4780000,3414000.0,1490000.0,1643000.0
8,Invested Capital,16463000,16479000.0,14102000.0,13917000.0
9,Tangible Book Value,3091000,4924000.0,3135000.0,2854000.0
10,Total Debt,10223000,11030000.0,682000.0,0.0
11,Net Debt,6709000,7112000.0,0,0
12,Share Issued,873415,867829.0,866223.0,866223.0
13,Ordinary Shares Number,863039,867829.0,866223.0,866223.0
14,Treasury Shares Number,10376,0,0,0
