,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,82793000,78324000,78453000,78509000
1,Total Liabilities Net Minority Interest,66277000,62946000,63824000,64429000
2,Total Equity Gross Minority Interest,16516000,15378000,14629000,14080000
3,Total Capitalization,42438000,41227000,40741000,38583000
4,Common Stock Equity,16484000,15331000,14588000,14039000
5,Capital Lease Obligations,79000,103000,128000,456000
6,Net Tangible Assets,9118000,7629000,6827000,5925000
7,Working Capital,13608000,13747000,12572000,10385000
8,Invested Capital,54194000,52391000,52117000,50136000
9,Tangible Book Value,9118000,7629000,6827000,5925000
10,Total Debt,37789000,37163000,37657000,36553000
11,Net Debt,28456000,37060000,37529000,36097000
12,Share Issued,814895,814895,814895,814895
13,Ordinary Shares Number,535888,545304,550083,575543
14,Treasury Shares Number,279007,269591,264812,239352
