,Breakdown,11/30/2021,11/30/2020,11/30/2019,11/30/2018
0,Total Assets,53344000,53593000,45058000.0,42401000.0
1,Total Liabilities Net Minority Interest,41199000,33038000,19693000.0,17958000.0
2,Total Equity Gross Minority Interest,12145000,20555000,25365000.0,24443000.0
3,Total Capitalization,40654000,42685000,35040000.0,32340000.0
4,Common Stock Equity,12145000,20555000,25365000.0,24443000.0
5,Capital Lease Obligations,1381000,1424000,0,0
6,Net Tangible Assets,10385000,18562000,21279000.0,20342000.0
7,Working Capital,275000,1877000,7068000.0,6979000.0
8,Invested Capital,45371000,47511000,36867000.0,34766000.0
9,Tangible Book Value,10385000,18562000,21279000.0,20342000.0
10,Total Debt,34607000,28380000,11502000.0,10323000.0
11,Net Debt,24287000,17443000,10984000.0,9341000.0
12,Share Issued,1266000,1216736,813984.0,825000.0
13,Ordinary Shares Number,1136000,1086736,683984.0,696000.0
14,Treasury Shares Number,197000,190000,190000.0,177000.0
