,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,275905000,273869000,263414000,251684000
1,Total Liabilities Net Minority Interest,177896000,180851000,178168000,177866000
2,Total Equity Gross Minority Interest,98009000,93018000,85246000,73818000
3,Total Capitalization,188810000,190937000,180491000,178958000
4,Common Stock Equity,96092000,90323000,82726000,71613000
5,Net Tangible Assets,79848000,88440000,90425000,100101000
6,Working Capital,4541000,2055000,4900000,5755000
7,Invested Capital,190942000,194083000,184943000,183356000
8,Tangible Book Value,79848000,88440000,90425000,100101000
9,Total Debt,94850000,103760000,102217000,111743000
10,Net Debt,86139000,92020000,96717000,107929000
11,Share Issued,5406021,5453447,5425826,5398754
12,Ordinary Shares Number,4533230,4580656,4553035,4525963
13,Treasury Shares Number,872791,872791,872791,872791
