,Breakdown,7/31/2021,7/31/2020,7/31/2019,7/31/2018
0,Total Assets,4562143.0,3455261.0,2547617.0,2307698.0
1,Total Liabilities Net Minority Interest,1032942.0,965745.0,769236.0,726599.0
2,Total Equity Gross Minority Interest,3529201.0,2489516.0,1778381.0,1581099.0
3,Total Capitalization,3926837.0,2886552.0,2178472.0,1979846.0
4,Common Stock Equity,3529201.0,2489516.0,1778381.0,1581099.0
5,Capital Lease Obligations,120433.0,121156.0,0,0
6,Net Tangible Assets,3127611.0,2098122.0,1389904.0,1178972.0
7,Working Capital,1281580.0,607715.0,405163.0,431860.0
8,Invested Capital,3926837.0,2886552.0,2179610.0,1980997.0
9,Tangible Book Value,3127611.0,2098122.0,1389904.0,1178972.0
10,Total Debt,518069.0,518192.0,401229.0,399898.0
11,Net Debt,0,0,214910.0,125378.0
12,Share Issued,237014.0,235315.0,229790.0,233899.0
13,Ordinary Shares Number,237014.0,235315.0,229790.0,233899.0
