,Breakdown,5/31/2021,5/31/2020,5/31/2019,5/31/2018
0,Total Assets,8236823,7669885,7436662.0,6958214.0
1,Total Liabilities Net Minority Interest,4548976,4434683,4433941.0,3941688.0
2,Total Equity Gross Minority Interest,3687847,3235202,3002721.0,3016526.0
3,Total Capitalization,5330680,5774907,5540228.0,5551835.0
4,Common Stock Equity,3687847,3235202,3002721.0,3016526.0
5,Capital Lease Obligations,174624,165726,0,0
6,Net Tangible Assets,366333,86347,384621.0,414917.0
7,Working Capital,909224,1424504,1108547.0,1202075.0
8,Invested Capital,6229750,5774907,5852492.0,5551835.0
9,Tangible Book Value,366333,86347,384621.0,414917.0
10,Total Debt,2716527,2705431,2849771.0,2535309.0
11,Net Debt,2048263,2394303,2753126.0,2396585.0
12,Share Issued,189071,186793,184791.0,182723.0
13,Ordinary Shares Number,104061,103415,103284.0,106326.0
14,Treasury Shares Number,85010,83378,81506.0,76397.0
