,Breakdown,6/30/2021,6/30/2020,6/30/2019,6/30/2018
0,Total Assets,9112000,7776500.0,6184000.0,4531100.0
1,Total Liabilities Net Minority Interest,4838000,4271100.0,4502400.0,3444400.0
2,Total Equity Gross Minority Interest,4274000,3505400.0,1681600.0,1086700.0
3,Total Capitalization,7440000,6450500.0,4564400.0,3736100.0
4,Preferred Stock Equity,359000,606600.0,0,0
5,Common Stock Equity,3915000,2898800.0,1681600.0,1086700.0
6,Capital Lease Obligations,16000,0,0,0
7,Net Tangible Assets,938000,146100.0,1470100.0,855400.0
8,Working Capital,1722000,1399800.0,725100.0,663400.0
9,Invested Capital,7156000,5916800.0,4640900.0,3808000.0
10,Tangible Book Value,579000,460500.0,1470100.0,855400.0
11,Total Debt,3257000,3018000.0,2959300.0,2721300.0
12,Net Debt,2345000,2064800.0,2613900.0,2311100.0
13,Share Issued,170500,162800.0,145700.0,133424.0
14,Ordinary Shares Number,170500,162800.0,145700.0,133424.0
