,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,83184000,76161000,62081600,47832500.0
1,Total Liabilities Net Minority Interest,38007000,36384000,31799700,19605800.0
2,Total Equity Gross Minority Interest,45177000,39777000,30281900,28226700.0
3,Total Capitalization,67335000,60959000,51787300,37902900.0
4,Preferred Stock Equity,3268000,3268000,1599600,0
5,Common Stock Equity,41899000,36498000,28671000,28214400.0
6,Capital Lease Obligations,1096000,974000,796900,0
7,Net Tangible Assets,18860000,16936000,2191600,9364700.0
8,Working Capital,3508000,6400000,20664500,2252300.0
9,Invested Capital,64075000,57702000,50400100,37954700.0
10,Tangible Book Value,22128000,20204000,3791200,9364700.0
11,Total Debt,23272000,22178000,22526000,9740300.0
12,Net Debt,19590000,15169000,1816800,8952500.0
13,Share Issued,855700,851300,835500,817890.0
14,Ordinary Shares Number,715000,711000,695500,701490.0
15,Preferred Shares Number,3370,3370,1650,0
16,Treasury Shares Number,140700,140300,140000,116400.0
