,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,21206400,18126000.0,20869100.0,20074500.0
1,Total Liabilities Net Minority Interest,13953300,11924500.0,12143300.0,12020900.0
2,Total Equity Gross Minority Interest,7253100,6201500.0,8725800.0,8053600.0
3,Total Capitalization,15571400,12835800.0,14658800.0,14304800.0
4,Common Stock Equity,7224200,6166500.0,8685300.0,8003200.0
5,Capital Lease Obligations,397700,426100.0,578400.0,0
6,Net Tangible Assets,5063800,2817400.0,2238900.0,2872500.0
7,Working Capital,1133900,2185200.0,1197800.0,992100.0
8,Invested Capital,15982400,12853100.0,15039400.0,15048400.0
9,Tangible Book Value,5063800,2817400.0,2238900.0,2872500.0
10,Total Debt,9155900,7112700.0,6932500.0,7045200.0
11,Net Debt,8398300,5426400.0,6167700.0,6930500.0
12,Share Issued,364156,285700.0,288400.0,356958.0
13,Ordinary Shares Number,286900,285700.0,288400.0,287714.0
14,Treasury Shares Number,77256,0,0,69244.0
