,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,3523227,2721332,2244208.0,1611802.0
1,Total Liabilities Net Minority Interest,1027390,738314,648063.0,349206.0
2,Total Equity Gross Minority Interest,2495837,1983018,1596145.0,1262596.0
3,Total Capitalization,2517351,2008056,1621219.0,1287627.0
4,Common Stock Equity,2487117,1983018,1596145.0,1262596.0
5,Capital Lease Obligations,192906,241363,238390.0,0
6,Net Tangible Assets,1855251,1719087,1344844.0,1038699.0
7,Working Capital,1506060,1446832,1087263.0,936239.0
8,Invested Capital,2533369,2008056,1621219.0,1287627.0
9,Tangible Book Value,1855251,1719087,1344844.0,1038699.0
10,Total Debt,239158,266401,263464.0,25031.0
11,Share Issued,56868,56128,55207.0,54100.0
12,Ordinary Shares Number,56849,56108,55188.0,54080.0
13,Treasury Shares Number,19,20,19.735,19.735
