,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,21169241,20286891,21172769,20394209.0
1,Total Liabilities Net Minority Interest,9982033,9523405,10628243,9994560.0
2,Total Equity Gross Minority Interest,11187208,10763486,10544526,10399649.0
3,Total Capitalization,18981371,18155077,18334629,18491960.0
4,Preferred Stock Equity,37280,37280,37280,37280.0
5,Common Stock Equity,10917668,10488371,10278226,10135924.0
6,Capital Lease Obligations,312335,329130,331334,0
7,Net Tangible Assets,10954948,10525651,10315506,10173204.0
8,Working Capital,364819,720626,1280362,754564.0
9,Invested Capital,19259121,18532627,19315182,18953863.0
10,Tangible Book Value,10917668,10488371,10278226,10135924.0
11,Total Debt,8653788,8373386,9368290,8817939.0
12,Net Debt,8217621,8001665,8991203,8770497.0
13,Share Issued,375527,372302,371671,369405.0
14,Ordinary Shares Number,375527,372302,371671,369405.0
