,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,59454242.0,58239212.0,51723912.0,48275066.0
1,Total Liabilities Net Minority Interest,47748848.0,47278070.0,41465237.0,39430761.0
2,Total Equity Gross Minority Interest,11705394.0,10961142.0,10258675.0,8844305.0
3,Total Capitalization,36546966.0,32166903.0,27337318.0,24362608.0
4,Preferred Stock Equity,68110.0,35000.0,35000.0,0
5,Common Stock Equity,11705394.0,10961142.0,10258675.0,8844305.0
6,Capital Lease Obligations,0,0,0,21995.0
7,Net Tangible Assets,11328222.0,10583970.0,9881503.0,8467133.0
8,Working Capital,2567147.0,2500607.0,2574471.0,2485480.0
9,Invested Capital,38787472.0,34958407.0,30079057.0,26954956.0
10,Tangible Book Value,11328222.0,10583970.0,9881503.0,8467133.0
11,Total Debt,27082078.0,23997265.0,19820382.0,18132646.0
12,Net Debt,26639519.0,22238166.0,19394660.0,17629676.0
13,Share Issued,271966.0,270035.0,270035.0,261587.0
14,Ordinary Shares Number,202653.0,200245.0,199149.0,189056.0
15,Treasury Shares Number,69312.0,69790.0,70886.0,72531.0
