,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,133013000,129317000,124977000,119666000
1,Total Liabilities Net Minority Interest,98218000,94449000,90404000,86596000
2,Total Equity Gross Minority Interest,34795000,34868000,34573000,33070000
3,Total Capitalization,70107000,68068000,63943000,65229000
4,Common Stock Equity,34393000,32585000,32224000,30764000
5,Net Tangible Assets,27716000,25908000,25373000,23969000
6,Working Capital,2154000,209000,2148000,1956000
7,Invested Capital,76810000,71918000,70023000,67292000
8,Tangible Book Value,27716000,25908000,25373000,23969000
9,Total Debt,42417000,39333000,37799000,36528000
10,Net Debt,41235000,38670000,37212000,34932000
11,Share Issued,981000,978000,975000,970000
12,Ordinary Shares Number,979000,976000,973000,968000
13,Treasury Shares Number,2000,2000,2000,2000
