,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,22898000,17619000,23531000,21595687
1,Total Liabilities Net Minority Interest,9653000,7815000,8625000,7429425
2,Total Equity Gross Minority Interest,13245000,9804000,14906000,14166262
3,Total Capitalization,18730000,14418000,18620000,18163625
4,Common Stock Equity,12088000,8794000,13249000,13699287
5,Capital Lease Obligations,86000,115000,119000,59455
6,Net Tangible Assets,12088000,8794000,13249000,13699287
7,Working Capital,8000,634000,394000,94591
8,Invested Capital,18775000,14609000,18620000,18163625
9,Tangible Book Value,12088000,8794000,13249000,13699287
10,Total Debt,6773000,5930000,5490000,4523793
11,Net Debt,6033000,5711000,5248000,4249822
12,Share Issued,177551,158088,159002,164273
13,Ordinary Shares Number,177551,158088,159002,164273
