,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,7936200.0,7358700,6291300,5964600.0
1,Total Liabilities Net Minority Interest,4871400.0,4583200,3863500,3784600.0
2,Total Equity Gross Minority Interest,3064800.0,2775500,2427800,2180000.0
3,Total Capitalization,5374600.0,5347700,4211200,3987200.0
4,Common Stock Equity,3064800.0,2775500,2426600,2178200.0
5,Capital Lease Obligations,0,140500,139800,0
6,Net Tangible Assets,784100.0,1039600,832500,1148900.0
7,Working Capital,773400.0,863400,488900,194000.0
8,Invested Capital,5774600.0,5347700,4610900,4512200.0
9,Tangible Book Value,784100.0,1039600,832500,1148900.0
10,Total Debt,2709800.0,2712700,2324100,2334000.0
11,Net Debt,2238300.0,2153100,1796400,2071100.0
12,Share Issued,135734.0,184066,181891,180610.0
13,Ordinary Shares Number,135734.0,138660,139555,140499.0
14,Treasury Shares Number,0,45406,42335,40111.0
