,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,198874000.0,253452000.0,266048000.0,309129000.0
1,Total Liabilities Net Minority Interest,157262000.0,216378000.0,236187000.0,257648000.0
2,Total Equity Gross Minority Interest,41612000.0,37074000.0,29861000.0,51481000.0
3,Total Capitalization,71133000.0,105841000.0,97127000.0,127864000.0
4,Preferred Stock Equity,6000.0,6000.0,6000.0,6000.0
5,Common Stock Equity,40304000.0,35546000.0,28310000.0,30975000.0
6,Capital Lease Obligations,2848000.0,0,3162000.0,0
7,Net Tangible Assets,4846000.0,255000.0,9070000.0,46789000.0
8,Working Capital,14397000.0,32343000.0,59297000.0,55278000.0
9,Invested Capital,75488000.0,110612000.0,119194000.0,140931000.0
10,Tangible Book Value,4840000.0,249000.0,9076000.0,46795000.0
11,Total Debt,38032000.0,75066000.0,94046000.0,109956000.0
12,Net Debt,19414000.0,38436000.0,54490000.0,75428000.0
13,Share Issued,1099027.0,1095687.0,1092304.0,1461730.0
14,Ordinary Shares Number,1099027.0,1095687.0,1092304.0,1087778.0
15,Treasury Shares Number,0,0,0,373952.0
