,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,14352102,13440215,14645629,12683040.0
1,Total Liabilities Net Minority Interest,10848812,10222212,10950129,9211049.0
2,Total Equity Gross Minority Interest,3503290,3218003,3695500,3471991.0
3,Total Capitalization,5900105,5721410,6476763,5882584.0
4,Common Stock Equity,3490742,3204796,3674707,3450451.0
5,Capital Lease Obligations,789175,789294,825567,0
6,Net Tangible Assets,169034,210938,187738,89967.0
7,Working Capital,1174839,1219679,1544496,1674957.0
8,Invested Capital,5900105,5881941,7100806,6593731.0
9,Tangible Book Value,169034,210938,187738,89967.0
10,Total Debt,3198538,3466439,4251666,3143280.0
11,Net Debt,1694662,1686979,3149107,2809733.0
12,Share Issued,142181,144354,145378,145937.0
13,Ordinary Shares Number,142181,144354,145378,145937.0
