,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,22321000,20680000,25377000,25982000.0
1,Total Liabilities Net Minority Interest,15593000,15697000,17352000,16438000.0
2,Total Equity Gross Minority Interest,6728000,4983000,8025000,9544000.0
3,Total Capitalization,15840000,14106000,18328000,19943000.0
4,Common Stock Equity,6713000,4974000,8012000,9522000.0
5,Capital Lease Obligations,1085000,1009000,1033000,0
6,Net Tangible Assets,3870000,2170000,5200000,6697000.0
7,Working Capital,5637000,5054000,6334000,6349000.0
8,Invested Capital,15847000,14801000,18328000,19979000.0
9,Tangible Book Value,3870000,2170000,5200000,6697000.0
10,Total Debt,10219000,10836000,11349000,10457000.0
11,Net Debt,6090000,7264000,8048000,8449000.0
12,Share Issued,1066000,1066000,1068000,1069000.0
13,Ordinary Shares Number,896000,885000,878000,871000.0
14,Treasury Shares Number,170000,181000,190000,198000.0
