,Breakdown,10/31/2021,10/31/2020,10/31/2019,10/31/2018
0,Total Assets,38610000,34681000,33467000.0,34622000.0
1,Total Liabilities Net Minority Interest,40260000,36909000,34660000.0,35261000.0
2,Total Equity Gross Minority Interest,1650000,2228000,1193000.0,639000.0
3,Total Capitalization,4736000,3315000,3587000.0,3885000.0
4,Common Stock Equity,1650000,2228000,1193000.0,639000.0
5,Capital Lease Obligations,1286000,1179000,0,0
6,Net Tangible Assets,9237000,9148000,8226000.0,7060000.0
7,Working Capital,6926000,5572000,5116000.0,3744000.0
8,Invested Capital,5842000,3989000,3944000.0,5348000.0
9,Tangible Book Value,9237000,9148000,8226000.0,7060000.0
10,Total Debt,8778000,7396000,5137000.0,5987000.0
11,Net Debt,3193000,1353000,600000.0,821000.0
12,Share Issued,1092205,1304000,1458000.0,1560000.0
13,Ordinary Shares Number,1092205,1304000,1458000.0,1560000.0
