,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,12352000,12890000,12305000,12090000
1,Total Liabilities Net Minority Interest,5780000,6456000,4838000,4396000
2,Total Equity Gross Minority Interest,6572000,6434000,7467000,7694000
3,Total Capitalization,10656000,11862000,11113000,11330000
4,Common Stock Equity,6441000,6321000,7319000,7494000
5,Capital Lease Obligations,564000,610000,606000,1000
6,Net Tangible Assets,6441000,6321000,7319000,7494000
7,Working Capital,531000,2361000,1549000,1815000
8,Invested Capital,11332000,11862000,11113000,11330000
9,Tangible Book Value,6441000,6321000,7319000,7494000
10,Total Debt,5455000,6151000,4400000,3837000
11,Net Debt,4084000,3206000,2221000,2294000
12,Share Issued,714100,705400,713400,740400
13,Ordinary Shares Number,714100,705400,713400,740400
