,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,2437203,2294561,1832475,1537349.0
1,Total Liabilities Net Minority Interest,1747211,1661766,1654650,1546582.0
2,Total Equity Gross Minority Interest,689992,632795,177825,9233.0
3,Total Capitalization,1465197,1490580,876383,591835.0
4,Common Stock Equity,689992,632088,177473,9513.0
5,Capital Lease Obligations,107308,94772,82753,0
6,Net Tangible Assets,231612,336198,120719,265827.0
7,Working Capital,192076,479977,45698,116272.0
8,Invested Capital,1613693,1540568,1165148,990772.0
9,Tangible Book Value,231612,336198,120719,265827.0
10,Total Debt,1031009,1003252,1070428,1000285.0
11,Net Debt,779247,524552,897349,876491.0
12,Share Issued,106879,106457,105711,105088.0
13,Ordinary Shares Number,84562,85449,85471,86100.0
14,Treasury Shares Number,22317,21008,20240,18988.0
