,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,4917200.0,4414398,3813912,3473857
1,Total Liabilities Net Minority Interest,2114100.0,1874072,1550683,1479217
2,Total Equity Gross Minority Interest,2803100.0,2540326,2263229,1994640
3,Total Capitalization,3993400.0,3584557,3112093,2842975
4,Common Stock Equity,2803100.0,2540203,2263229,1994640
5,Capital Lease Obligations,0,110971,85163,11616
6,Net Tangible Assets,38100.0,229066,95453,86642
7,Working Capital,1198000.0,1258173,903568,727871
8,Invested Capital,3993400.0,3584645,3112481,2843458
9,Tangible Book Value,38100.0,229066,95453,86642
10,Total Debt,1190300.0,1155413,934415,860434
11,Net Debt,334900.0,18591,216671,382411
12,Share Issued,90068.0,90072,89948,90112
13,Ordinary Shares Number,76195.0,75961,76088,75953
14,Treasury Shares Number,13873.0,14111,13860,14159
