,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,3170540,2935700,2730436,2574450.0
1,Total Liabilities Net Minority Interest,423319,341589,327993,368215.0
2,Total Equity Gross Minority Interest,2747221,2594111,2402443,2206235.0
3,Total Capitalization,2762613,2626976,2439694,2247255.0
4,Common Stock Equity,2746582,2592819,2401726,2205548.0
5,Capital Lease Obligations,5454,5778,5300,0
6,Net Tangible Assets,2655295,2489339,2245363,2017687.0
7,Working Capital,2034250,1933499,1704730,1559650.0
8,Invested Capital,2780739,2630786,2443434,2250926.0
9,Tangible Book Value,2655295,2489339,2245363,2017687.0
10,Total Debt,39611,43745,47008,45378.0
11,Share Issued,55788,55461,54743,54372.0
12,Ordinary Shares Number,53010,53427,53011,52942.0
13,Treasury Shares Number,2778,2034,1732,1430.0
