,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,13555000,11168900,9733200,7846700
1,Total Liabilities Net Minority Interest,1603500,1409800,1448500,1159200
2,Total Equity Gross Minority Interest,11951500,9759100,8284700,6687500
3,Total Capitalization,11901100,9731500,8263800,6678800
4,Common Stock Equity,11901100,9731500,8263800,6678800
5,Net Tangible Assets,11487000,9317400,7844500,6371500
6,Working Capital,4695100,5660700,3632400,3512600
7,Invested Capital,11901100,9731500,8263800,6678800
8,Tangible Book Value,11487000,9317400,7844500,6371500
9,Share Issued,357700,353100,348000,343500
10,Ordinary Shares Number,357700,353100,348000,343500
