,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,20385400.0,20071700.0,18046400,16185300
1,Total Liabilities Net Minority Interest,10112500.0,10712000.0,10479400,9213900
2,Total Equity Gross Minority Interest,10272900.0,9359700.0,7567000,6971400
3,Total Capitalization,15689400.0,14778700.0,13356800,12962300
4,Common Stock Equity,10272900.0,9359700.0,7567000,6971400
5,Capital Lease Obligations,924600.0,960700.0,902600,58900
6,Net Tangible Assets,1421500.0,2352900.0,4332500,4300000
7,Working Capital,2547600.0,2046900.0,325400,956500
8,Invested Capital,15690900.0,15155400.0,13772000,12972300
9,Tangible Book Value,1421500.0,2352900.0,4332500,4300000
10,Total Debt,6342600.0,6756400.0,7107600,6059800
11,Net Debt,3945300.0,4474900.0,5867500,5574100
12,Share Issued,93100.0,97500.0,97200,122400
13,Ordinary Shares Number,93100.0,97500.0,97200,98900
14,Treasury Shares Number,0,0,0,23500
