,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,5575000,5777000,5027000,5393000.0
1,Total Liabilities Net Minority Interest,5519000,5356000,5083000,5324000.0
2,Total Equity Gross Minority Interest,56000,421000,56000,69000.0
3,Total Capitalization,2770000,2987000,2536000,2860000.0
4,Common Stock Equity,179000,195000,235000,111000.0
5,Capital Lease Obligations,210000,188000,38000,0
6,Net Tangible Assets,1135000,725000,1003000,1415000.0
7,Working Capital,1483000,1555000,1163000,1082000.0
8,Invested Capital,2780000,2990000,2538000,2868000.0
9,Tangible Book Value,1135000,725000,1003000,1415000.0
10,Total Debt,3169000,2983000,2811000,2979000.0
11,Net Debt,2033000,1469000,2076000,2420000.0
12,Share Issued,241200,258200,275600,293900.0
13,Ordinary Shares Number,241200,258200,275600,293900.0
