,Breakdown,11/30/2021,11/30/2020,11/30/2019,11/30/2018
0,Total Assets,12905800,12089700,10362100.0,10256400.0
1,Total Liabilities Net Minority Interest,8480300,8149700,6905400.0,7074200.0
2,Total Equity Gross Minority Interest,4425500,3940000,3456700.0,3182200.0
3,Total Capitalization,8384300,7679900,7070000.0,7223800.0
4,Common Stock Equity,4411000,3926100,3444200.0,3170900.0
5,Capital Lease Obligations,106100,103500,0,0
6,Net Tangible Assets,4518400,4415600,3984400.0,4230300.0
7,Working Capital,1028000,962900,604200.0,521800.0
8,Invested Capital,9693700,8830500,7768400.0,7867300.0
9,Tangible Book Value,4518400,4415600,3984400.0,4230300.0
10,Total Debt,5388800,5007900,4324200.0,4696400.0
11,Net Debt,4931000,4480800,4168800.0,4599800.0
12,Share Issued,267300,266900,265800.0,264200.0
13,Ordinary Shares Number,267300,266900,265800.0,264200.0
