,Breakdown,10/31/2021,10/31/2020,10/31/2019,10/31/2018
0,Total Assets,3790961,3674656,3516447,3421012
1,Total Liabilities Net Minority Interest,1631831,1915665,1935402,1970271
2,Total Equity Gross Minority Interest,2159130,1758991,1581045,1450741
3,Total Capitalization,2940839,2826943,2656449,2736098
4,Common Stock Equity,2159130,1758991,1581045,1450741
5,Capital Lease Obligations,135650,142689,14875,13405
6,Net Tangible Assets,88615,361949,479269,657018
7,Working Capital,719444,657523,533569,533822
8,Invested Capital,2975027,2864986,2825187,2764832
9,Tangible Book Value,88615,361949,479269,657018
10,Total Debt,951547,1248684,1259017,1327496
11,Net Debt,515925,897702,1092978,1218413
12,Share Issued,98023,98023,98023,98023
13,Ordinary Shares Number,58154,58081,57600,58037
14,Treasury Shares Number,39869,39942,40423,39986
