,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,140912000,127684000,117691000,103702000
1,Total Liabilities Net Minority Interest,95488000,82755000,76331000,66289000
2,Total Equity Gross Minority Interest,45424000,44929000,41360000,37413000
3,Total Capitalization,88162000,78457000,74548000,60926000
4,Common Stock Equity,37202000,36513000,37005000,34144000
5,Net Tangible Assets,32358000,32259000,32249000,32545000
6,Working Capital,8149000,8176000,6445000,11170000
7,Invested Capital,92029000,84604000,79588000,71856000
8,Tangible Book Value,32358000,32259000,32249000,32545000
9,Total Debt,54827000,48091000,42583000,37712000
10,Net Debt,54188000,46986000,41983000,37074000
11,Share Issued,1963000,1960000,1956000,1912000
12,Ordinary Shares Number,1963000,1960000,1956000,1912000
