,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,25823072.0,20125394,18344666,17920588.0
1,Total Liabilities Net Minority Interest,11219278.0,8893533,7553490,7718620.0
2,Total Equity Gross Minority Interest,14603794.0,11231861,10791176,10201968.0
3,Total Capitalization,18977799.0,15981001,14573207,14025354.0
4,Common Stock Equity,14016389.0,10788665,10357866,9792078.0
5,Capital Lease Obligations,0,90338,85224,0
6,Net Tangible Assets,10085286.0,7890972,7414617,6779238.0
7,Working Capital,7642144.0,6860802,5762596,5829965.0
8,Invested Capital,19701200.0,16038907,14655651,14083224.0
9,Tangible Book Value,10085286.0,7890972,7414617,6779238.0
10,Total Debt,5684811.0,5340580,4383009,4291146.0
11,Net Debt,3319953.0,2610571,2763180,2892260.0
12,Share Issued,379855.0,380154,380154,380154.0
13,Ordinary Shares Number,272000.0,302245,301812,305592.0
14,Treasury Shares Number,107855.0,77909,78342,74562.0
