,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,5834475,5777141,3809815,3165933.0
1,Total Liabilities Net Minority Interest,2832097,2674067,1468571,1357371.0
2,Total Equity Gross Minority Interest,3002378,3103074,2341244,1808562.0
3,Total Capitalization,4518633,4620469,2939545,2406243.0
4,Common Stock Equity,3002378,3103074,2341244,1808562.0
5,Capital Lease Obligations,74565,72656,85377,0
6,Net Tangible Assets,3002378,3103074,2341244,1808562.0
7,Working Capital,4081012,4244200,2365207,1840559.0
8,Invested Capital,4518633,4620469,2939545,2406243.0
9,Tangible Book Value,3002378,3103074,2341244,1808562.0
10,Total Debt,1590820,1590051,683678,597681.0
11,Share Issued,20555,20555,20555,20555.0
12,Ordinary Shares Number,3447,3696,3633,3578.0
13,Treasury Shares Number,17108,16860,16923,16977.0
