,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,14179000,14700000,15642000,17716400.0
1,Total Liabilities Net Minority Interest,10088000,10800000,10646000,12438600.0
2,Total Equity Gross Minority Interest,4091000,3900000,4996000,5277800.0
3,Total Capitalization,8974000,9015000,10354600,11939300.0
4,Common Stock Equity,4091000,3874000,4963300,5243000.0
5,Capital Lease Obligations,622000,601000,673800,0
6,Net Tangible Assets,2783000,3243000,3661900,3306800.0
7,Working Capital,945000,1007000,1131900,4418800.0
8,Invested Capital,8977000,9481000,10687000,12258000.0
9,Tangible Book Value,2783000,3243000,3661900,3306800.0
10,Total Debt,5508000,6208000,6397500,7015000.0
11,Net Debt,4446000,4626000,5375100,6519300.0
12,Share Issued,450000,448400,447100,446100.0
13,Ordinary Shares Number,425500,424400,423500,422800.0
14,Treasury Shares Number,24500,24000,23600,23300.0
