,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,92377000,92918000,78547000,77648000.0
1,Total Liabilities Net Minority Interest,76226000,79366000,63679000,63046000.0
2,Total Equity Gross Minority Interest,16151000,13552000,14868000,14602000.0
3,Total Capitalization,52069000,53824000,43934000,42813000.0
4,Common Stock Equity,16043000,13454000,14786000,14518000.0
5,Capital Lease Obligations,446000,460000,442000,0
6,Net Tangible Assets,21003000,24618000,16758000,16115000.0
7,Working Capital,4437000,371000,2816000,245000.0
8,Invested Capital,56377000,57604000,46854000,46839000.0
9,Tangible Book Value,21003000,24618000,16758000,16115000.0
10,Total Debt,40780000,44610000,32510000,32321000.0
11,Net Debt,34738000,35965000,26559000,23600000.0
12,Share Issued,1867000,1867000,1867000,1867000.0
13,Ordinary Shares Number,1383000,1380000,1391000,1409000.0
14,Treasury Shares Number,484000,487000,476000,458000.0
