,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,58486220,56065005,40031850,38417664.0
1,Total Liabilities Net Minority Interest,20744010,19740425,13960066,12616776.0
2,Total Equity Gross Minority Interest,37742210,36324580,26071784,25800888.0
3,Total Capitalization,50650534,48648829,34374749,33337408.0
4,Preferred Stock Equity,63948,63948,68948,68948.0
5,Common Stock Equity,33362925,31907599,22584179,22229145.0
6,Capital Lease Obligations,448445,486972,471634,0
7,Net Tangible Assets,32874356,31244726,22338948,21847403.0
8,Working Capital,91612,578391,1036268,336262.0
9,Invested Capital,51077979,48756675,34490056,33318960.0
10,Tangible Book Value,32810408,31180778,22270000,21778455.0
11,Total Debt,18163499,17336048,12377511,11089815.0
12,Net Debt,17158937,16250990,10817022,10745959.0
13,Share Issued,739827,739381,631797,629616.0
14,Ordinary Shares Number,739827,739381,631797,629616.0
15,Preferred Shares Number,1279,1279,1379,1379.0
