,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,55594000,54721000,58720000.0,54302000.0
1,Total Liabilities Net Minority Interest,33957000,33198000,31551000.0,27149000.0
2,Total Equity Gross Minority Interest,21637000,21523000,27169000.0,27153000.0
3,Total Capitalization,31868000,33642000,36126000.0,35746000.0
4,Common Stock Equity,19166000,18984000,24910000.0,24653000.0
5,Capital Lease Obligations,290000,264000,0,0
6,Net Tangible Assets,16869000,16716000,20771000.0,20514000.0
7,Working Capital,1896000,3758000,2749000.0,4274000.0
8,Invested Capital,33324000,34613000,36673000.0,35813000.0
9,Tangible Book Value,16869000,16716000,20771000.0,20514000.0
10,Total Debt,14448000,15893000,11763000.0,11160000.0
11,Net Debt,11011000,13115000,10149000.0,8141000.0
12,Share Issued,650026,648643,647417.0,645692.0
13,Ordinary Shares Number,438254,436871,441026.0,456165.0
14,Treasury Shares Number,211772,211772,206391.0,189526.0
