,Breakdown,9/30/2021,9/30/2020,9/30/2019,9/30/2018
0,Total Assets,61891000.0,47482000,38830000.0,37412924.0
1,Total Liabilities Net Minority Interest,53588000.0,40306000,32187000.0,30960578.0
2,Total Equity Gross Minority Interest,8303000.0,7176000,6643000.0,6452346.0
3,Total Capitalization,11140000.0,10047000,9025000.0,8817156.0
4,Common Stock Equity,8245000.0,7114000,6581000.0,6368461.0
5,Capital Lease Obligations,0,345000,0,0
6,Net Tangible Assets,7363000.0,6514000,5970000.0,5729364.0
7,Invested Capital,11140000.0,10047000,9025000.0,8817156.0
8,Tangible Book Value,7363000.0,6514000,5970000.0,5729364.0
9,Total Debt,2895000.0,3278000,2444000.0,2448695.0
10,Share Issued,239062.0,238511,237653.0,234503.0
11,Ordinary Shares Number,205739.0,204835,206763.0,218464.0
12,Treasury Shares Number,33323.0,33676,30890.0,16040.0
