,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,118445427.0,73888344.0,50616434.0,47364816.0
1,Total Liabilities Net Minority Interest,110604809.0,68061435.0,45846611.0,42957676.0
2,Total Equity Gross Minority Interest,7840618.0,5826909.0,4769823.0,4407140.0
3,Total Capitalization,11050091.0,9494742.0,9368086.0,9635314.0
4,Preferred Stock Equity,7.0,7.0,0,0
5,Common Stock Equity,7840611.0,5826902.0,4769823.0,4407140.0
6,Capital Lease Obligations,254660.0,265354.0,242587.0,0
7,Net Tangible Assets,7840618.0,5826909.0,4769823.0,4407140.0
8,Invested Capital,11050084.0,9494735.0,9368086.0,9635314.0
9,Tangible Book Value,7840611.0,5826902.0,4769823.0,4407140.0
10,Total Debt,3464133.0,3933187.0,4840850.0,5228174.0
11,Net Debt,0,0,3808431.0,4910919.0
12,Share Issued,60633.0,55464.0,55428.0,55406.0
13,Ordinary Shares Number,60633.0,53565.0,53520.0,55039.0
14,Preferred Shares Number,730.0,730.0,0,0
15,Treasury Shares Number,0,1899.0,1908.0,366.098
