,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,6229300,6083800,5765200,5050200.0
1,Total Liabilities Net Minority Interest,5980600,5911300,5961400,5398800.0
2,Total Equity Gross Minority Interest,248700,172500,196200,348600.0
3,Total Capitalization,3449100,3880000,3502400,2887900.0
4,Common Stock Equity,248700,172500,196200,348600.0
5,Capital Lease Obligations,95100,111900,91900,0
6,Net Tangible Assets,2093300,2221500,2595200,2397900.0
7,Working Capital,62300,514100,127800,66200.0
8,Invested Capital,3927400,3899000,3618000,3125600.0
9,Tangible Book Value,2093300,2221500,2595200,2397900.0
10,Total Debt,3773800,3838400,3906100,3474200.0
11,Net Debt,3117700,3177800,3551800,3202500.0
12,Share Issued,232483,231958,231623,231619.0
13,Ordinary Shares Number,148099,154890,154513,155654.0
14,Treasury Shares Number,84384,77068,77110,75965.0
