,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,211478000.0,115511007,71004903,56927979.0
1,Total Liabilities Net Minority Interest,194869000.0,107077516,64383823,51663136.0
2,Total Equity Gross Minority Interest,16609000.0,8433491,6621080,5264843.0
3,Total Capitalization,18806000.0,9063328,6818294,5812674.0
4,Preferred Stock Equity,3646000.0,340138,340138,0
5,Common Stock Equity,12590000.0,7879562,6130169,5116209.0
6,Capital Lease Obligations,388000.0,259554,218847,0
7,Net Tangible Assets,15701000.0,8015580,6283067,5116209.0
8,Invested Capital,15281000.0,8743743,6495586,6124672.0
9,Tangible Book Value,12055000.0,7675442,5942929,5116209.0
10,Total Debt,3079000.0,1123735,584264,1008463.0
11,Share Issued,58748.0,51888,51656,52586.0
12,Ordinary Shares Number,58748.0,51888,51656,52586.0
13,Preferred Shares Number,0,350,350,0
