,Breakdown,10/31/2021,10/31/2020,10/31/2019,10/31/2018
0,Total Assets,8752260,8030062,6405160.0,6145974.0
1,Total Liabilities Net Minority Interest,3453317,3117695,2316284.0,2660959.0
2,Total Equity Gross Minority Interest,5298943,4912367,4088876.0,3485015.0
3,Total Capitalization,5320231,5008227,4203106.0,3604687.0
4,Common Stock Equity,5295137,4907404,4083013.0,3479152.0
5,Capital Lease Obligations,566681,535584,0,0
6,Net Tangible Assets,1440220,1287968,632460.0,24501.0
7,Working Capital,394857,409295,13536.0,558618.0
8,Invested Capital,5395223,5035311,4220720.0,3948456.0
9,Tangible Book Value,1440220,1287968,632460.0,24501.0
10,Total Debt,666767,663491,137707.0,469304.0
11,Share Issued,157260,157261,157261.0,157261.0
12,Ordinary Shares Number,153062,152618,150331.0,149265.0
13,Treasury Shares Number,4198,4643,6930.0,7996.0
