,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,33777379.0,34786846.0,31231630.0,30686223.0
1,Total Liabilities Net Minority Interest,29924394.0,31314500.0,28320380.0,26889267.0
2,Total Equity Gross Minority Interest,3852985.0,3472346.0,2911250.0,3796956.0
3,Total Capitalization,28119029.0,29075043.0,25295323.0,25776280.0
4,Preferred Stock Equity,41763.0,42091.0,42420.0,42748.0
5,Common Stock Equity,3319689.0,2997381.0,2483978.0,3253933.0
6,Capital Lease Obligations,570376.0,580262.0,584064.0,67255.0
7,Net Tangible Assets,3308076.0,2984416.0,2430546.0,3145945.0
8,Working Capital,1171033.0,1285124.0,2289920.0,1817040.0
9,Invested Capital,28577266.0,29655972.0,26579953.0,26492213.0
10,Tangible Book Value,3266313.0,2942325.0,2388126.0,3103197.0
11,Total Debt,25827953.0,27238853.0,24680039.0,23305535.0
12,Net Debt,24723641.0,25646978.0,23426602.0,22723945.0
13,Share Issued,342916.0,342857.0,334018.0,320420.0
14,Ordinary Shares Number,328620.0,328501.0,320443.0,309017.0
15,Preferred Shares Number,796.948,796.948,796.948,796.948
16,Treasury Shares Number,14296.0,14356.0,13574.0,11402.0
