,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,15026000.0,12537000,11348000,9458000.0
1,Total Liabilities Net Minority Interest,9490000.0,9185000,8544000,7154000.0
2,Total Equity Gross Minority Interest,5536000.0,3352000,2804000,2304000.0
3,Total Capitalization,6146000.0,4619000,4427000,4290000.0
4,Common Stock Equity,2032000.0,509000,479000,628000.0
5,Capital Lease Obligations,588000.0,644000,732000,0
6,Net Tangible Assets,2759000.0,4578000,4520000,4431000.0
7,Working Capital,4995000.0,2401000,1619000,975000.0
8,Invested Capital,6146000.0,4619000,4427000,4290000.0
9,Tangible Book Value,2759000.0,4578000,4520000,4431000.0
10,Total Debt,4702000.0,4754000,4680000,3662000.0
11,Net Debt,0,2000,1082000,1745000.0
12,Share Issued,294000.0,294000,294000,294000.0
13,Ordinary Shares Number,241000.0,241000,244000,249000.0
14,Treasury Shares Number,53000.0,53000,50000,45000.0
