,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,28180000,23566300,20596600,19408000.0
1,Total Liabilities Net Minority Interest,16587600,12499900,11454400,11568100.0
2,Total Equity Gross Minority Interest,11592400,11066400,9142200,7839900.0
3,Total Capitalization,15944100,15305000,12312700,11656000.0
4,Preferred Stock Equity,620300,1500000,1500000,750000.0
5,Common Stock Equity,10970200,9559600,7636300,7086200.0
6,Capital Lease Obligations,118900,138800,141300,0
7,Net Tangible Assets,1893500,3034300,3723200,4605000.0
8,Working Capital,241000,1477700,50900,567800.0
9,Invested Capital,17566200,13806500,11153100,11284600.0
10,Tangible Book Value,2513800,4534300,5223200,5355000.0
11,Total Debt,6714900,4385700,3658100,4198400.0
12,Net Debt,6453700,2865900,3219100,3909700.0
13,Share Issued,176903,176903,176903,176903.0
14,Ordinary Shares Number,163329,160752,153506,151302.0
15,Treasury Shares Number,13574,16150,23396,25600.0
