,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,3809425,3652346,2787014,2706606.0
1,Total Liabilities Net Minority Interest,1245469,1441541,1306856,1184252.0
2,Total Equity Gross Minority Interest,2563956,2210805,1480158,1522354.0
3,Total Capitalization,2653200,2587573,1874845,1902335.0
4,Common Stock Equity,2563956,2210805,1480158,1522354.0
5,Capital Lease Obligations,76155,62646,65325,0
6,Net Tangible Assets,2062297,1656007,938247,1015022.0
7,Working Capital,1771107,1714563,1119855,1256195.0
8,Invested Capital,2672382,2620916,1874845,1902335.0
9,Tangible Book Value,2062297,1656007,938247,1015022.0
10,Total Debt,184581,472757,460012,379981.0
11,Share Issued,162251,166123,166410,175522.0
12,Ordinary Shares Number,162251,166123,166410,175522.0
