,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,120466000,116764000,110122000,104233000
1,Total Liabilities Net Minority Interest,91579000,87563000,84179000,81339000
2,Total Equity Gross Minority Interest,28887000,29201000,25943000,22894000
3,Total Capitalization,36177000,35751000,31901000,28858000
4,Common Stock Equity,28887000,29201000,25943000,22894000
5,Net Tangible Assets,24573000,24908000,21652000,18612000
6,Invested Capital,36177000,35751000,32501000,29458000
7,Tangible Book Value,24573000,24908000,21652000,18612000
8,Total Debt,7290000,6550000,6558000,6564000
9,Net Debt,6529000,5829000,6064000,6191000
10,Share Issued,782700,779700,777600,774500
11,Ordinary Shares Number,241200,252400,255500,263600
12,Treasury Shares Number,541500,527300,522100,510900
