,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,7767467,7049116.0,5289268,3085262
1,Total Liabilities Net Minority Interest,5764802,5125276.0,3722145,1523442
2,Total Equity Gross Minority Interest,2002665,1923840.0,1567123,1561820
3,Total Capitalization,2989065,2908140.0,1933603,1942920
4,Common Stock Equity,2002665,1923840.0,1567123,1561820
5,Capital Lease Obligations,2932912,2557250.0,2312686,32916
6,Net Tangible Assets,1947145,1868320.0,1442631,1437328
7,Working Capital,1185598,1514887.0,540287,856292
8,Invested Capital,2989065,2908140.0,1963603,1969170
9,Tangible Book Value,1947145,1868320.0,1442631,1437328
10,Total Debt,3919312,3541550.0,2709166,440266
11,Net Debt,108370,0,312239,321051
12,Share Issued,176371,175128.0,173608,171887
13,Ordinary Shares Number,113125,116246.0,118165,121828
14,Treasury Shares Number,63246,58882.0,55443,50059
