,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,13093543,13476879,11668250,11265480.0
1,Total Liabilities Net Minority Interest,6900490,7074912,6089379,5799687.0
2,Total Equity Gross Minority Interest,6193053,6401967,5578871,5465793.0
3,Total Capitalization,10231543,9841399,9400682,9324449.0
4,Common Stock Equity,6089664,6317146,5504105,5389262.0
5,Capital Lease Obligations,369108,338099,326518,0
6,Net Tangible Assets,2127040,2434431,1634345,1544634.0
7,Working Capital,279447,800830,352544,489064.0
8,Invested Capital,10279952,10173397,9488232,9387895.0
9,Tangible Book Value,2127040,2434431,1634345,1544634.0
10,Total Debt,4559396,4194350,4310645,3998633.0
11,Net Debt,4074987,2631761,3922859,3893413.0
12,Share Issued,77091,85063,86707,91350.0
13,Ordinary Shares Number,77091,85063,86707,91350.0
