,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,212206000,197289000,173889000,152221000
1,Total Liabilities Net Minority Interest,135727000,126750000,111727000,95994000
2,Total Equity Gross Minority Interest,76479000,70539000,62162000,56227000
3,Total Capitalization,114143000,104139000,94424000,86277000
4,Common Stock Equity,71760000,65491000,57616000,51696000
5,Net Tangible Assets,14079000,16702000,18392000,16539000
6,Working Capital,16534000,18702000,19148000,14517000
7,Invested Capital,117763000,108958000,98294000,88250000
8,Tangible Book Value,14079000,16702000,18392000,16539000
9,Total Debt,46003000,43467000,40678000,36554000
10,Net Debt,24628000,26546000,29693000,25688000
11,Share Issued,941000,946000,948000,960000
12,Ordinary Shares Number,941000,946000,948000,960000
