,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,13432500,11751808,8318465,6245898
1,Total Liabilities Net Minority Interest,3332500,3064993,2233221,1810695
2,Total Equity Gross Minority Interest,10100000,8686815,6085244,4435203
3,Total Capitalization,10100000,8686815,6085244,4435203
4,Common Stock Equity,10100000,8686815,6085244,4435203
5,Capital Lease Obligations,934100,931939,653161,591367
6,Net Tangible Assets,8697800,7284657,4683086,4384819
7,Working Capital,7418600,6255846,3488002,2722817
8,Invested Capital,10100000,8686815,6085244,4435203
9,Tangible Book Value,8697800,7284657,4683086,4384819
10,Total Debt,934100,931939,653161,591367
11,Share Issued,254479,259890,258993,255172
12,Ordinary Shares Number,254479,259890,258993,255172
