,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,24717786.0,23929404,24692208,22584555.0
1,Total Liabilities Net Minority Interest,13772026.0,13651213,14146756,12312961.0
2,Total Equity Gross Minority Interest,10945760.0,10278191,10545452,10271594.0
3,Total Capitalization,22545481.0,21882086,21755936,20093149.0
4,Common Stock Equity,10854385.0,10180167,10445892,10215857.0
5,Capital Lease Obligations,197234.0,209917,251196,0
6,Net Tangible Assets,8431228.0,7892972,8083430,7656731.0
7,Working Capital,593131.0,89907,588943,1105335.0
8,Invested Capital,22881929.0,22075579,22604665,20949556.0
9,Tangible Book Value,8431228.0,7892972,8083430,7656731.0
10,Total Debt,12224778.0,12105329,12409969,10733699.0
11,Net Debt,11877819.0,11482085,12052410,10661422.0
12,Share Issued,399420.0,374609,372811,356572.0
13,Ordinary Shares Number,399420.0,374609,372809,356572.0
14,Treasury Shares Number,0,0,2,0
