,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,54842800.0,61553000.0,31255500,32734900.0
1,Total Liabilities Net Minority Interest,34350100.0,38598900.0,19371700,20567800.0
2,Total Equity Gross Minority Interest,20492700.0,22954100.0,11883800,12167100.0
3,Total Capitalization,40209800.0,45383300.0,23098100,25328300.0
4,Common Stock Equity,20492700.0,22954100.0,11883800,12167100.0
5,Capital Lease Obligations,287600.0,322400.0,252400,0
6,Net Tangible Assets,17755200.0,19076100.0,9356700,11245300.0
7,Working Capital,1018500.0,2304600.0,1188200,1779900.0
8,Invested Capital,43563100.0,48740500.0,23665600,25985400.0
9,Tangible Book Value,17755200.0,19076100.0,9356700,11245300.0
10,Total Debt,23358000.0,26108800.0,12034200,13818300.0
11,Net Debt,22369200.0,24942000.0,11306200,13430200.0
12,Share Issued,1209507.0,1206896.0,540747,539290.0
13,Ordinary Shares Number,1209507.0,1206896.0,516149,515799.0
14,Treasury Shares Number,0,0,24598,23491.0
