,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,1404563.0,1404563.0,1215000,1058304,1008327.0
1,Investing Cash Flow,646899.0,646899.0,1042974,1667934,506533.0
2,Financing Cash Flow,562003.0,562003.0,223641,35677,233608.0
3,End Cash Position,537751.0,537751.0,353466,394146,1036987.0
4,Income Tax Paid Supplemental Data,0,0,79163,73898,45129.0
5,Interest Paid Supplemental Data,0,0,5954,1438,0
6,Capital Expenditure,545230.0,545230.0,731872,562077,405741.0
7,Issuance of Debt,0,0,0,1135629,1132185.0
8,Repayment of Debt,0,0,0,690000,0
9,Repurchase of Capital Stock,522255.0,522255.0,193588,334519,750000.0
10,Free Cash Flow,859333.0,859333.0,483128,496227,602586.0
