,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,5116000,5116000,5491000,5129000,5175000
1,Investing Cash Flow,510000,510000,3441000,2807000,1719000
2,Financing Cash Flow,5240000,5240000,2011000,2483000,3574000
3,End Cash Position,763000,763000,377000,338000,499000
4,Capital Expenditure,345000,345000,308000,433000,277000
5,Issuance of Capital Stock,0,0,0,1414000,557000
6,Issuance of Debt,0,0,1189000,491000,498000
7,Repayment of Debt,436000,436000,0,317000,400000
8,Repurchase of Capital Stock,3570000,3570000,2025000,2867000,2688000
9,Free Cash Flow,4771000,4771000,5183000,4696000,4898000
