,Breakdown,ttm,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,0,4623000.0,2341000.0,2597000
1,Investing Cash Flow,0,2894000.0,3234000.0,587000
2,Financing Cash Flow,0,952000.0,1214000.0,1263000
3,Other Cash Adjustment Inside Change in Cash,0,0,0,0
4,End Cash Position,0,8903000.0,6213000.0,5883000
5,Income Tax Paid Supplemental Data,0,236000.0,609000.0,538000
6,Interest Paid Supplemental Data,0,223000.0,356000.0,341000
7,Capital Expenditure,0,147000.0,143000.0,162000
8,Issuance of Debt,0,878000.0,497000.0,936000
9,Repayment of Debt,0,836000.0,397000.0,1541000
10,Repurchase of Capital Stock,0,1441000.0,1943000.0,1630000
11,Free Cash Flow,0,4476000.0,2198000.0,2435000
