,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,549482,549482,547310,499936.0,486437.0
1,Investing Cash Flow,536813,536813,614253,833548.0,313680.0
2,Financing Cash Flow,245852,245852,96597,429409.0,262675.0
3,End Cash Position,667667,667667,912672,872094.0,777139.0
4,Income Tax Paid Supplemental Data,130426,130426,54174,86770.0,87244.0
5,Interest Paid Supplemental Data,11146,11146,11941,787.0,0
6,Capital Expenditure,23018,23018,35370,44940.0,21762.0
7,Issuance of Debt,0,0,375000,500000.0,0
8,Repayment of Debt,45000,45000,75000,0,0
9,Repurchase of Capital Stock,134679,134679,161029,59116.0,269801.0
10,Free Cash Flow,526464,526464,511940,454996.0,464675.0
