,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,8364000.0,8364000.0,10688000,6061000,3827000
1,Investing Cash Flow,9638000.0,9638000.0,7324000,2792000,1259000
2,Financing Cash Flow,423000.0,423000.0,2567000,2266000,2241000
3,End Cash Position,4880000.0,4880000.0,5741000,4937000,3934000
4,Capital Expenditure,1087000.0,1087000.0,1021000,1077000,1208000
5,Issuance of Capital Stock,0,0,0,0,1250000
6,Issuance of Debt,4837000.0,4837000.0,3454000,10063000,9955000
7,Repayment of Debt,2118000.0,2118000.0,3752000,9624000,11251000
8,Repurchase of Capital Stock,1900000.0,1900000.0,2700000,1701000,1685000
9,Free Cash Flow,7277000.0,7277000.0,9667000,4984000,2619000
