,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,1441000.0,1441000.0,1426000,1383000,1386000
1,Investing Cash Flow,1536000.0,1536000.0,2061000,1945000,2036000
2,Financing Cash Flow,345000.0,345000.0,1120000,494000,726000
3,End Cash Position,136000.0,136000.0,576000,91000,159000
4,Income Tax Paid Supplemental Data,1000.0,1000.0,7000,12000,38000
5,Interest Paid Supplemental Data,389000.0,389000.0,382000,383000,332000
6,Capital Expenditure,1873000.0,1873000.0,1928000,1758000,1673000
7,Issuance of Capital Stock,0,0,0,0,183000
8,Issuance of Debt,1118000.0,1118000.0,1834000,1530000,1418000
9,Repayment of Debt,872000.0,872000.0,347000,673000,526000
10,Repurchase of Capital Stock,0.0,0.0,0,36000,45000
11,Free Cash Flow,432000.0,432000.0,502000,375000,287000
