,Breakdown,ttm,8/31/2021,8/31/2020,8/31/2019,8/31/2018
0,Operating Cash Flow,0,3518543,2720108,2128513,2080292
1,Investing Cash Flow,0,601778,497875,491846,521860
2,Financing Cash Flow,0,3500417,643636,1674088,1632154
3,End Cash Position,0,1171335,1750815,176300,217824
4,Income Tax Paid Supplemental Data,0,574854,339486,383871,427161
5,Interest Paid Supplemental Data,0,187948,161864,153371,163965
6,Capital Expenditure,0,621767,457736,496050,522247
7,Issuance of Capital Stock,0,187757,68392,188819,89715
8,Issuance of Debt,0,0,1850000,750000,170200
9,Repayment of Debt,0,309853,1582158,598607,299004
10,Repurchase of Capital Stock,0,3378321,930903,2004896,1592013
11,Free Cash Flow,0,2896776,2262372,1632463,1558045
