,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,2820000,2820000,85000,4865000,5338000
1,Investing Cash Flow,998000,998000,2637000,7050000,2215000
2,Financing Cash Flow,1239000,1239000,1528000,8220000,7431000
3,End Cash Position,11152000,11152000,10582000,6332000,2645000
4,Income Tax Paid Supplemental Data,735000,735000,319000,1074000,1169000
5,Interest Paid Supplemental Data,318000,318000,278000,221000,219000
6,Capital Expenditure,304000,304000,286000,368000,442000
7,Issuance of Debt,2015000,2015000,4108000,400000,25000
8,Repayment of Debt,3068000,3068000,0,425000,1487000
9,Repurchase of Capital Stock,163000,163000,1303000,8187000,5971000
10,Free Cash Flow,2516000,2516000,201000,4497000,4896000
